index from dataset,Original Article Title,Original article text,Verdict,Snopes/politifact/emergent article title,Category,Fact Checking Website
299,Senate Bill 99 / SL 2018-5 (2017-2018 Session),"Date: 6/12/2018 Chamber: Action: Ch. SL 2018-5 Documents: None Votes: None Date: 6/12/2018 Chamber: House Action: Veto Overridden Documents: None Votes: PASS: 73-44 Date: 6/7/2018 Chamber: House Action: Placed On Cal For 06/12/2018 Documents: None Votes: None Date: 6/7/2018 Chamber: House Action: Cal Pursuant Rule 44.2 (b) Documents: None Votes: None Date: 6/7/2018 Chamber: House Action: Veto Received From Senate Documents: None Votes: None Date: 6/7/2018 Chamber: Senate Action: Veto Overridden Documents: None Votes: PASS: 34-13 Date: 6/7/2018 Chamber: Senate Action: Placed on Today's Calendar Documents: None Votes: None Date: 6/1/2018 Chamber: Action: Pres. To Gov. 6/1/2018 Documents: None Votes: None Date: 6/1/2018 Chamber: Action: Ratified Documents: None Votes: None Date: 6/1/2018 Chamber: Senate Action: Ordered Enrolled Documents: None Votes: None Date: 5/30/2018 Chamber: Senate Action: Placed on Today's Calendar Documents: None Votes: None Date: 5/30/2018 Chamber: Senate Action: Withdrawn From Com Documents: None Votes: None Date: 5/29/2018 Chamber: House Action: Placed On Cal For 05/31/2018 Documents: None Votes: None Date: 5/29/2018 Chamber: House Action: Cal Pursuant Rule 44(d) Documents: None Votes: None Date: 5/29/2018 Chamber: House Action: Withdrawn From Com Documents: None Votes: None Date: 5/29/2018 Chamber: House Action: Re-ref Com On Pensions and Retirement Documents: None Votes: None Date: 5/29/2018 Chamber: Senate Action: Re-ref Com on Pensions and Retirement and Aging Documents: None Votes: None Date: 5/29/2018 Chamber: Senate Action: Withdrawn from Com Documents: None Votes: None Date: 5/29/2018 Chamber: House Action: Re-ref Com On Finance Documents: None Votes: None Date: 5/29/2018 Chamber: Senate Action: Re-ref Com on Finance Documents: None Votes: None Date: 5/29/2018 Chamber: Senate Action: Withdrawn from Com Documents: None Votes: None Date: 5/28/2018 Chamber: House Action: Re-ref to the Com on Appropriations, if favorable, Finance, if favorable, Pensions and Retirement Documents: None Votes: None Date: 5/28/2018 Chamber: Senate Action: Re-ref Com On Appropriations/Base Budget Documents: None Votes: None Date: 5/28/2018 Chamber: Senate Action: Held As Material Documents: None Votes: None Date: 5/28/2018 Chamber: House Action: Ruled Material Documents: None Votes: None Date: 5/23/2018 Chamber: Senate Action: Conferees Reappointed Documents: None Votes: None Date: 5/23/2018 Chamber: Senate Action: Conf Com Dismissed Documents: None Votes: None Date: 5/23/2018 Chamber: House Action: Conferees Changed Documents: None Votes: None Date: 5/22/2018 Chamber: House Action: Conferees Reappointed Documents: None Votes: None Date: 5/22/2018 Chamber: House Action: Conf Com Dismissed Documents: None Votes: None Date: 6/29/2017 Chamber: House Action: Conf Com Appointed Documents: None Votes: None Date: 6/28/2017 Chamber: Senate Action: Conf Com Appointed Documents: None Votes: None Date: 6/27/2017 Chamber: Senate Action: Failed Concur In H Com Sub Documents: None Votes: FAIL: 0-48 Date: 6/26/2017 Chamber: Senate Action: Placed On Cal For 06/27/2017 Documents: None Votes: None Date: 6/26/2017 Chamber: Senate Action: Withdrawn From Cal Documents: None Votes: None Date: 6/23/2017 Chamber: Senate Action: Placed On Cal For 06/26/2017 Documents: None Votes: None Date: 6/23/2017 Chamber: Senate Action: Regular Message Received For Concurrence in H Com Sub Documents: None Votes: None Date: 6/22/2017 Chamber: House Action: Regular Message Sent To Senate Documents: None Votes: None Date: 6/21/2017 Chamber: House Action: Passed 3rd Reading Documents: None Votes: None Date: 6/21/2017 Chamber: House Action: Passed 2nd Reading Documents: None Votes: PASS: 111-0 Date: 6/20/2017 Chamber: House Action: Placed On Cal For 06/21/2017 Documents: None Votes: None Date: 6/20/2017 Chamber: House Action: Cal Pursuant Rule 36(b) Documents: None Votes: None Date: 6/20/2017 Chamber: House Action: Reptd Fav Com Substitute Documents: CS: PCS15225-TU-25 Votes: None Date: 6/7/2017 Chamber: House Action: Re-ref Com On Insurance Documents: None Votes: None Date: 6/7/2017 Chamber: House Action: Withdrawn From Com Documents: None Votes: None Date: 4/27/2017 Chamber: House Action: Ref To Com On Rules, Calendar, and Operations of the House Documents: None Votes: None Date: 4/27/2017 Chamber: House Action: Passed 1st Reading Documents: None Votes: None Date: 4/27/2017 Chamber: House Action: Regular Message Received From Senate Documents: None Votes: None Date: 4/27/2017 Chamber: Senate Action: Regular Message Sent To House Documents: None Votes: None Date: 4/26/2017 Chamber: Senate Action: Engrossed Documents: None Votes: None Date: 4/26/2017 Chamber: Senate Action: Passed 3rd Reading Documents: None Votes: None Date: 4/26/2017 Chamber: Senate Action: Passed 2nd Reading Documents: None Votes: PASS: 49-0 Date: 4/26/2017 Chamber: Senate Action: Placed on Today's Supplemental Calendar Documents: None Votes: None Date: 4/26/2017 Chamber: Senate Action: Reptd Fav Documents: None Votes: None Date: 4/26/2017 Chamber: Senate Action: Re-ref Com On Rules and Operations of the Senate Documents: None Votes: None Date: 4/26/2017 Chamber: Senate Action: Com Substitute Adopted Documents: None Votes: None Date: 4/26/2017 Chamber: Senate Action: Reptd Fav Com Substitute Documents: CS: PCS35311-TU-13 Votes: None Date: 2/16/2017 Chamber: Senate Action: Re-ref to Commerce and Insurance. If fav, re-ref to Rules and Operations of the Senate Documents: None Votes: None Date: 2/16/2017 Chamber: Senate Action: Withdrawn From Com Documents: None Votes: None Date: 2/16/2017 Chamber: Senate Action: Ref To Com On Rules and Operations of the Senate Documents: None Votes: None Date: 2/16/2017 Chamber: Senate Action: Passed 1st Reading Documents: None Votes: None",FALSE,http://www.politifact.com/north-carolina/statements/2018/may/25/sydney-batch/nc-democrat-said-nc-budget-had-passed-it-hadnt/,Politics,Polifact
1264,Governor Cuomo Directs State Health Department to Investigate Public Health and Safety Hazards at NYCHA Properties,"Governor Andrew M. Cuomo today directed the New York State Department of Health to investigate the hazardous conditions plaguing the New York City Housing Authority to protect New Yorkers. Prior to the announcement, the Governor toured the Jackson Houses, a NYCHA building in the Bronx, alongside Borough President Ruben Diaz, City Councilmember Ritchie Torres, Assemblyman Michael Blake, New York State's Health Commissioner Dr. Howard Zucker, and Jim Walden, an attorney for NYCHA tenants, where they saw evidence of mold, vermin, and decades-old, potentially hazardous paint peeling from the walls. The conditions present a clear threat to public health and serve as a reflection of conditions across NYCHA housing, which demand immediate action from the state. ""The situation we've seen is as upsetting and as disturbing as anything I've seen anywhere and I've been through the worst housing complexes all across this country,"" Governor Cuomo said. ""It is just shocking that in New York State we would have people who are subjected to these conditions, and on behalf of the people of the state, I apologize to the NYCHA residents because they deserve better and they'll get better.""",FALSE,http://www.politifact.com/new-york/statements/2018/mar/23/andrew-cuomo/nycha-only-housing-authority-get-money-state-budge/,Politics,Polifact
1279,Chapter 41 Wealth Equalization,"Chapter 41 Wealth Equalization Chapter 41 of the Texas Education Code (TEC) makes provisions for certain school districts to share their local tax revenue with other school districts. For the purposes of the school finance system in Texas, districts are designated as either Chapter 41 or Chapter 42 districts. The relative wealth of the school district is measured in terms of the taxable value of property that lies within the school district borders divided by the number of students in weighted average daily attendance (WADA). Chapter 41s provisions are sometimes referred to as the share the wealth or Robin Hood plan because districts subject to Chapter 41 of the TEC are required to share their wealth with other school districts. The funds that are distributed by Chapter 41 districts are recaptured by the school finance system to assist with the financing of public education for all school districts. Law and Rules Chapter 41 Reports and Additional Information Payment Instructions Chapter 41 Option 3 Payment Schedule Report Disaster Aid Assistance Training Frequently Asked Questions Chapter 41 Correspondence Chapter 41 Manuals Chapter 41 Agreements Chapter 41 Wealth Equalization Data Chapter 41 Status Potential Partner Districts Recapture Paid For more information, contact: Division of State Funding Kim Wall (512) 463-4809 _EMAIL_",FALSE,http://www.politifact.com/texas/statements/2018/mar/23/mike-collier/mike-collier-says-pending-robin-hood-funds-wont-fu/,Politics,Polifact
1364,UC Berkeley College of Environmental Design,"Carol Galante is the I. Donald Terner Distinguished Professor in Affordable Housing and Urban Policy and the Faculty Director of the Terner Center for Housing Innovation. She also co-chairs the Policy Advisory Board of the Fisher Center of Real Estate and Urban Economics. As Faculty Director for the Terner Center, Galante oversees the Centers work and co-leads the Centers research agenda, supervising projects that identify, develop and advance innovative solutions in local, state and federal housing policy and practice. In her role as I. Donald Terner Distinguished Professor in Affordable Housing and Urban Policy, Professor Galante teaches graduate courses on housing policy and community development, including a semester-long studio intensive course on the design and finance of affordable housing development. Prior to coming to UC Berkeley, Galante served in the Obama Administration for over five years as the Assistant Secretary for Housing/Federal Housing Commissioner at the U.S. Department of Housing and Urban Development (HUD) and as the Deputy Assistant Secretary for Multifamily Housing programs. As FHA Commissioner, Ms. Galante was responsible for the oversight of the FHAs trillion dollar insurance portfolio, which includes single family and multifamily housing as well as insured health care facilities. She was also responsible for HUDs two million apartments with rental assistance. Prior to her appointment at HUD, Galante was President and Chief Executive of BRIDGE Housing Corporation, the largest non-profit developer of affordable, mixed-income and mixed-use developments in California. Early in her career Galante also worked for local government in city planning and community economic development. She has held numerous volunteer leadership positions at the federal and state level, and has received a number of notable industry and academic honors for her leadership and commitment to addressing the housing challenges and needs of families from all walks of life. Galante holds a Master of City Planning from U.C. Berkeley, and a Bachelor of Arts from Ohio Wesleyan.",TRUE,http://www.politifact.com/california/statements/2018/mar/21/gavin-newsom/true-california-ranks-49th-capita-housing-supply/,Politics,Polifact
1452,"Seattle Police Begin Gun Confiscations: No Laws Broken, No Warrant, No Charges","Some residents also complained that a man open carrying a handgun made them feel uncomfortable and unsafe (Zero Hedge) A man in Seattle has had his gun confiscated by police after breaking no laws. The police took his gun without a warrant and without pressing any charges. Tyranny has officially taken hold on American soil. This sets a precedent that government can now forcefully take guns away from an individual without a crime being committed or an arrest being made and without a warrant. In the name of fear and political exploitation of anti-gun rhetoric, a citizens Second Amendment rights have been ripped away from him by the government. The new red flag law, which has taken hold in other states already, allows the courts and law enforcement to take away guns from individuals they deem are dangerous and theyve just begun the confiscation. A man living in the Belltown neighborhood of Seattle, Washington became the first individual in the state to have his firearm confiscated without any formal arrest or charges. The man was not identified by authorities. ** MORE GUN CONFISCATION COVERAGE at Liberty Headlines ** Neighbors complained that the man had been staring at people through storefront windows while wearing a holstered firearm. He was not brandishing his weapon by any account, and open carrying is legal in the area, so he was abiding by the law. Other residents also complained that the mans open carrying made them feel uncomfortable and unsafe. He was roaming the hallways with a .25 caliber automatic, said Tony Montana, a man who lives in the same apartment complex as the gun owner and a person without any reasonable gun knowledge. Handguns are semi-automatic Original Source",FALSE,http://www.politifact.com/punditfact/statements/2018/mar/14/liberty-headlines/no-seattle-police-didnt-use-red-flag-law-seize-man/,Politics,Polifact
2035,Gubernatorial Candidate Travis Allen: Arrest Jerry Brown For Defying Federal Immigration Laws,"This is the fifth installment in a series of Capital Public Radio interviews with the prominent candidates for California governor. You can find all the interviews here. The Trump administration has suggested it may try to prosecute elected officials who help enact or enforce state or local immigration measures that conflict with federal law. Travis Allen thinks the feds should arrest the man he hopes to replace as California governor. The Republican assemblyman from Orange County, one of three GOP candidates to succeed termed-out Gov. Jerry Brown, says the Democrat should face consequences for signing a bill last year that limits state and local law enforcement agencies from cooperating with federal immigration authorities. Absolutely, absolutely, Allen said when asked whether Brown should be arrested in a recent interview with Capital Public Radio. This whole sanctuary state  it's an illegal concept, and it is very clear that immigration is the specific duty of the federal government. Jerry Brown is breaking federal law by instituting this illegal sanctuary state, Allen said. There is a federal immigration law and it must be followed by California. That drew a sharp response from Browns office. Given this individuals day job, one would expect him to be a bit more familiar with the law and how it works, press secretary Evan Westrup wrote in an email. Hopefully hell consider doing a little homework  and thinking  before saying such an absurd thing aloud next time. The measure, Senate Bill 54, easily passed the Legislature last fall after Brown and the bills author, Senate President Pro Tem Kevin de Len, negotiated amendments that addressed some concerns among law enforcement groups. Westrup also pointed to a passage in Browns SB 54 signing message: It is important to note what the bill does not do, Brown wrote last fall. This bill does not prevent or prohibit Immigration and Customs Enforcement or the Department of Homeland Security from doing their own work in any way. They are free to use their own considerable resources to enforce federal immigration law in California. After his interview was broadcast and this article was published, the assemblyman reached out to say he realized his answer needed clarification. To be more precise, the Justice Department should arrest Jerry Brown if he takes any action to enforce SB 54 that interferes with Federal Immigration authorities doing their constitutional duty, Allen wrote in an email. A good example is [California Attorney General] Xavier Becerra threatening California employers if they cooperate with [U.S. Immigration and Customs Enforcement]. Still, Allen is convinced California voters are on his side of the argument. He says the new law is sheltering people in this state who are here illegally and committing crimes while they are here with taxpayer dollars. If elected governor, hes pledged to reverse the sanctuary state law in his first 100 days in office by calling a special election and placing a ballot initiative before voters. Allen is quick to throw punches at the governor on issues well beyond immigration. He said Brown lied by signing a transportation funding bill last year that included fuel tax and vehicle fee increases after promising no new taxes without voter approval during the 2010 gubernatorial campaign. And, referring to several side deals reached to ensure the gas tax bills passage by funding transportation projects in four lawmakers districts, he said Brown was able to bribe four legislators a billion dollars. Asked to name something the governor has done right, Allen declared Browns governorship a legacy of failures. He pointed to the embattled Delta tunnels and high-speed rail projects. Jerry Brown is a lot of talk, and he always has been a lot of talk, he said. A Tea Party Stalwart, But Not An Immediate Trump Supporter Allen is in his sixth year in the Assembly, representing an Orange County district that includes his hometown of Huntington Beach. Hes run an investment advising business since 2001, but grew frustrated watching clients, family and friends move out of California because of the states high taxes and cost of living. So he decided to run for office. I dont think we should have career politicians in California, he said. I think our politicians should be forced to live in the real world and pay real taxes and live under all those crazy laws that they are putting out there. Since his election in 2012, Allen has carved out a voting record and speaking style of an unabashed conservative, the Tea Party, and, he says, President Donald Trump. But he was not an immediate Trump supporter in the 2016 presidential campaign. He first backed Florida Sen. Marco Rubio (I thought he had a great chance against Hillary Clinton), then Texas Sen. Ted Cruz (I like the fact that Ted was not afraid to take on the entire establishment). But Allen rallied behind Trump as soon as he became the presumptive GOP nominee, writing an op-ed in May 2016 headlined Its time for Republicans to unify behind Trump. For anyone who believes in common sense and economic prosperity and the Republican values, Allen said in our interview, it was very clear there was only one choice: You're either going to vote for Donald Trump, or anything else you do will support Hillary Clinton. In contrast, Allen noted, one of his rival GOP gubernatorial candidates, San Diego businessman John Cox, voted for libertarian Gary Johnson. I'm the only person in the governor's race, up until just lately, that actually openly supported the president, Allen said. (Cox recently told Capital Public Radio that his vote was a mistake, and that he now backs President Trump.) The other Republican in the governors race, former Sacramento-area Rep. Doug Ose, endorsed Trump even earlier than Allen did and played a leading role in the presidents California campaign. Allen has nothing but praise for Trumps record as president, and vows to bring the same leadership style to California. We need somebody that is not afraid of taking on the establishment on either side, to actually implement policies that are for the best of our state, he said. And I have to tell ya, this is exactly what I think our president's done for our country. Allen voiced support for the federal tax overhaul that Trump and congressional Republicans passed late last year. The new law caps the state and local income and property tax deduction at $10,000, which is expected to increase federal taxes owed by wealthy Californians. In extra-high tax states like California, taking away that state and local deduction against federal taxes  it's gonna hurt some people, and that's very true, Allen said. But on balance, the benefit of the federal tax reform is going to be massive for all the states, including California. He rejected a bill by De Len to deduct state income taxes as charitable contributions. The real answer is not some fancy trick proposed by the Sacramento Democrats, Allen said, calling instead for lowering state income tax rates. When you lower taxes across the board in California, you will unleash an economic engine the likes of which the state has not seen since the Gold Rush. Allens first challenge is to finish in the top two, out of the seven current gubernatorial candidates, in the June primary to advance to the November general election. Three reputable polls released in recent months show him ranging from third place to fifth, no closer than six points to second place. To catch up, hell need to rely on his conservative base to turn out voters; his latest fundraising report filed Wednesday shows his campaign is under water: Allen raised nearly $450,000 last year but ended 2017 with $135,535 cash on hand and $342,850 in debt. Thats well behind Cox, who has contributed several million dollars of his own money. (Ose has just started raising money in the last couple of weeks.) Its possible two Democrats will advance to the runoff. But Allen believes he will make it, along with former San Francisco mayor and current Democratic Lt. Gov. Gavin Newsom, whos led in polls throughout the campaign. If so, Allen is convinced hell have a good shot at winning it all. I think the labels are gonna be very clear, he said. Gavin Newsom is the Bay Area progressive that's to the left of [Vermont Sen.] Bernie Sanders, and Travis Allen is the common-sense Californian that just wants California to once again be the greatest state in the nation. Editor's Note: This article has been updated to add a clarification from Asm. Allen about the circumstances under which he thinks Gov. Brown should be arrested for violating federal immigration law.",FALSE,http://www.politifact.com/california/statements/2018/feb/07/travis-allen/travis-allen-repeats-false-claim-californians-over/,Politics,Polifact
3015,Cox Pins Gubernatorial Campaign On Neighborhood Legislature Initiative,"San Diego businessman and Republican gubernatorial candidate John Cox at the California GOP Convention in Anaheim, Calif., on Saturday, Oct. 21, 2017. This is the third installment in a series of Capital Public Radio interviews with the prominent candidates for California governor. You can find all the interviews here. John Cox says the only way to get money out of California politics is to multiply the number of state lawmakers by 100. Hes dead serious. So serious, in fact, that the San Diego businessman has just spent $2.5 million of his own money to gather more than 800,000 voter signatures to qualify his Neighborhood Legislature initiative for the November 2018 ballot  a ballot he hopes to be on too, as a candidate for California governor. Cox turned his initiative signatures in to county elections officials last week, triggering the signature verification process that will determine whether his measure will go before voters next fall. As long as the districts and the campaigns are driven by media and television and radio, theyre gonna be expensive. And the people who are elected are going to have to dance to the tune of the people who give the money, Cox told Capital Public Radio in an interview at the California Republican Party convention in Anaheim last month. So the only solution that I think Ive found that would really open up the process and get rid of the power of money is to make the money unnecessary, he says, and thats this idea of a Neighborhood Legislature. Under Coxs ballot proposal, the current 40 Senate and 80 Assembly districts would be split up into micro-districts of 10,000 and 5,000 constituents respectively. Currently, each senator represents more than 930,000 constituents and every assembly member more than 465,000. Youre not gonna need to raise money, Cox says. Youre gonna basically almost know everybody in your district. And that way, the funders lose power. Because Californias current population is approximately 39 million, the initiative would initially create roughly 3,900 neighborhood senators and 7,800 neighborhood assembly members. But only 120 of those neighborhood representatives would head to the state Capitol. According to an analysis of the initiative from Californias nonpartisan Legislative Analysts Office: Beginning in 2022 and by a majority vote the (1) elected Senators in a Senate district would select one representative to serve on the Senate Working Committee and (2) elected Assembly Members in an Assembly district would select one representative to serve on the Assembly Working Committee. Ninety-nine percent of those people stay home, Cox says. And the 12,000 people that are in the neighborhoods go about their life and keep tabs on the people in Sacramento. The 40 senators and 120 assembly members who make up the working committees would write, amend and approve bills. But other than urgency measures, no bill could advance to the governors desk without the approval of the full Neighborhood Senate and Neighborhood Assembly. Cox hopes his Neighborhood Legislature initiative will be a springboard for his gubernatorial campaign. Although he isnt well-known, hes the top Republican in recent polls  which also suggest he has a shot at finishing in the top two in Californias open primary system and advancing to the November election. He describes himself as a conservative fed up with Californias shift to the left. Were a laughingstock, he says of the states business climate. And Im just disgusted with the political class in Sacramento that keeps making life more expensive. This is not a functioning state at the present time, he adds. Were careening towards a disaster. And I dont want to see that happen. Cox acknowledges he voted for libertarian Gary Johnson in the 2016 presidential race  but after observing Donald Trumps opening months, I will say, today, sitting here today, that it was a mistake. So far, President Trump has come through on reducing regulation, reducing the size of government, he says. I am very, very supportive of the things hes done. And he plays up his record as a businessman on the campaign trail. Its the politicians that have messed things up at the state Capitol, he says. And Im running against five politicians.""",FALSE,http://www.politifact.com/california/statements/2017/nov/16/john-cox/does-california-have-highest-electricity-bills-nat/,Politics,Polifact
3116,Eastin: Jerry Brown Has Really Hurt California Schools,"This is the second installment in a series of Capital Public Radio interviews with the prominent candidates for California governor. You can find all the interviews here. Democratic gubernatorial candidate Delaine Eastin is accusing termed-out Gov. Jerry Brown of tepid and timid leadership  especially on schools. He has really hurt education in this state, she told Capital Public Radio in an interview earlier this month. He hasnt been for universal preschool. He hasnt been for mandatory kindergarten. He hasnt been for reducing the cost to go to college and university. And so Jerrys marks are not high in my book when it comes to education. Eastin, a former Assemblywoman and State Superintendent of Public Instruction, is one of four prominent Democrats running to replace Brown next year. And while she praises some parts of the governors record  such as his fiscal policy and the deal he reached to extend Californias cap-and-trade greenhouse gas emissions reduction program  her assessment of Browns education policies echoes her broader critique of the states direction overall. Californias still the biggest state in the union  the sixth largest economy in the world  and yet, were doing tepid, timid, small things instead of really dreaming big dreams and doing the right things by kids, adults and seniors, she says. Eastin isnt the best-known Democrat running for governor. She hasnt held elected office in nearly 15 years, and she polls at the bottom of the pack. But shes hoping her campaign will catch fire with her laser-like focus on education. She supports universal preschool, mandatory kindergarten and  with California ranking by one measurement 41st of the 50 states in per-pupil spending  a much larger investment in public education. Asked how to pay for her proposals, Eastin says its time to consider changing how property taxes are assessed on commercial properties under Proposition 13. Right now, were wringing our hands, and telling school districts, well, were giving you more money but were also running up the price of the pensions, she says. So lets find a solution here where we do in fact increase the per-pupil spending so that we can increase the education of our children. Browns office responded to Eastins comments by pointing to his education actions as governor: Convincing voters to pass a November 2012 tax initiative to avoid massive cuts to education as California recovered from the Great Recession Record-high state budget funding for schools and community colleges And a new school funding formula intended to send more money to districts with the most low-income students, English language learners and foster youths. Brown has agreed to modest increases in state spending on early childhood education programs in recent years, as the state budget has stabilized. But he has opposed efforts both inside and outside the budget process to create universal preschool, citing a need to keep Californias finances in balance. Eastin even threw a personal shot at Brown, whom she quoted as saying he wasnt hurt by getting kicked out of preschool. (Eastins campaign was not able to provide any sourcing for Browns purported quote, and the governors office said it was not familiar with the governors disciplinary record in preschool.) There are two possible answers, she says. One, yes it did, Governor; and two, you are the very demographic who has the least need for preschool because Browns parents were both educated and affluent. They spoke to you and they read to you and they sang to you and they were wonderful people, Eastin went on, adding that she has the greatest respect for Jerry Browns father Pat, who served as governor from 1959 to 1967. But when it comes to education, I would argue, the last great governor of California was Pat Brown  but its not Jerry.",FALSE,http://www.politifact.com/california/statements/2017/nov/09/delaine-eastin/false-claim-california-has-built-nearly-four-times/,Politics,Polifact
3236,"Repeal Californias gas tax increase, says GOP candidate","Recently, a group of special interests threatened those daring to propose repeal of the California Democrats $5.2 billion-a-year gas-and-car tax increases. Members of the California Republican congressional delegation and taxpayer protection advocates, including the Howard Jarvis Taxpayers Association, the National Tax Limitation Committee and taxfighter Carl DeMaio, are refusing to back down. They have pledged to take the gas tax repeal to the ballot. I, for one, commend their courage in taking on crony capitalism and the corruption that it breeds. For too long, we have permitted the Democrats to masquerade as the defenders of the poor. They are anything but. This enormous tax at the gas pump, along with the special-interest-driven cap-and-trade tax and huge increase in the vehicle license fee, together constitute an enormous, regressive tax increase. These taxes hit the working poor particularly hard, forcing families to choose between gas in the tank to get to work, or rent, or food on the table. The California Democratic leadership has been at war not only with working families but with small businesses, as well. Through overregulation and the worlds second-highest capital gains tax, California politicians have killed tens of thousands of good-paying jobs, and driven employers out of state. But worst of all, their socialist policies have created the worst poverty rate in the nation, penalizing the very people they pretend to protect. The money robbed from California families will be wasted by the California Department of Transportation, one of the worst-run bureaucracies in the country. In awarding Caltrans its 2016 Golden Fleece Award, the Independent Institute called Caltrans irresponsible for wasting billions of taxpayer dollars and said it even lied to lawmakers to cover its tracks. California spends 4.7 times the national average for every mile of roadway we build and maintain, according to the Competitive Enterprise Institute. Texas, for example, has far better roads on which it spends about $1 for every $5.80 spent by California taxpayers. In Arizona, 80 percent of that work goes out to competitive bidding, but in California, the figure is only 10 percent. Is it any wonder when a government monopoly does the job, it costs more and takes longer? We also routinely discriminate against small business and nonunion workers, which explains why unions and big business joined together to finance an extensive radio-and-newspaper campaign to promote the gas and car tax increase. The corrupting influence of the special interests is hurting all of us, including taxpayers and especially the working poor. It has made California unaffordable for most working families and given us one of the worst small-business climates in the country. By putting crony capitalism on notice, our Republican congressional delegation is showing what real leadership is all about, and in so doing, laying the groundwork for the resurgence of a Republican Party that takes its principles seriously. John Cox of San Diego is a businessman and Republican candidate for governor. He is the chairman of Give Voters a Voice, the gas-tax repeal effort.",FALSE,http://www.politifact.com/california/statements/2017/nov/01/john-cox/does-california-spend-nearly-five-times-much-build/,Politics,Polifact
3251,New Leadership PAC,"Conservative Texas Leaders Announce New Leadership PAC NLP will participate in 2018 Texas Primaries to recruit and support new House leaders FOR IMMEDIATE RELEASE Austin, TX (Oct. 18, 2017)Conservative leaders in Texas today announced formation of the New Leadership PAC (NLP), a response to failures of the states 85th Legislative Session and the subsequent special session that was called by Governor Greg Abbott. Governor Abbott called the special session to address 20 conservative policy initiatives, including property tax reform, limits on state and local spending, and ending forced collection of union dues by local governments, most of which failed to pass the House during the regular session. During the month-long special session, the Texas Senate passed bills on all 20 of the Governors initiatives, while the Texas House only passed 11. The House failed to get many important bills out of committees and to the floor for a vote, indicating a lack of will among Republican leadership in the House to advance conservative priorities. Governor Abbotts top political strategist, Dave Carney, said, its pretty clear the culture of the House is corrupt, that its a non-transparent system, that doesnt allow [its members] to have an up or down vote. It has become clear that leaders in the Texas House have lost contact with the core principles of the majority of Texans. Texans deserve better. It is time for a new force for change that will remove these barriers to progress, said Don Dyer, NLPs spokesman and PAC treasurer. NLP is the culmination of discussions among a growing movement of organizations, leaders, and voters across the state. Evidence of the need for NLP is illustrated by the passage of resolutions demanding changes in House leadership by 54 (and growing) of Republican party county chapters that together represent over 50 percent of Texas Republican voters. Our growing list of contributors have been encouraged by the outpouring of support for NLP, and we are committed to find, promote and support a new crop of leaders in the House to ensure common-sense policies for all Texans, said Dyer. NLP plans to encourage and support new leadership at all levels in the Texas House during the 2018 Primary season and beyond.",TRUE,http://www.politifact.com/texas/statements/2017/nov/01/new-leadership-pac/did-gop-activists-representing-majority-gop-voters/,Politics,Polifact
